Sheldon,sheldon,6.19,6.710000000000001
slowly,slowly,6.72,7.15
walked,walked,7.15,7.5
into,into,7.5,7.69
the,the,7.69,7.77
restaurant,restaurant,7.77,8.23
eying,,,
the,the,8.62,8.719999999999999
decor,decor,8.72,9.17
suspiciously,suspiciously,9.17,9.99
His,his,10.38,10.590000000000002
roommate,roommate,10.59,10.97
Leonard,leonard,10.98,11.43
pushed,pushed,11.48,11.76
past,past,11.78,12.17
him,him,12.17,12.28
and,and,12.28,12.39
asked,asked,12.4,12.72
the,the,12.74,12.86
hostess,hostess,12.86,13.27
for,for,13.27,13.4
a,a,13.4,13.45
table,table,13.45,13.76
for,for,13.77,13.88
two,two,13.88,14.19
As,as,14.839999,14.989999
they,they,14.99,15.09
were,were,15.089999,15.209999
led,led,15.21,15.43
to,to,15.429999,15.509999
their,their,15.509999,15.689999
chairs,chairs,15.7,16.14
Sheldon,sheldon,16.190001,16.620001
began,began,16.619999,16.919999
to,to,16.92,17.03
protest,protest,17.029999,17.559999
yet,yet,17.559999,17.759999
again,again,17.76,18.19
Just,just,18.799999,19.099999
because,because,19.129999,19.499999000000003
our,our,19.599999000000004,19.699999
next,next,19.699999,19.979999000000003
door,door,19.979999000000003,20.129999
neighbor,neighbor,20.129999,20.369999000000004
is,is,20.369999000000004,20.389999000000003
a,a,20.63,20.65
waitress,waitress,20.65,21.12
here,here,21.12,21.290000000000003
it,it,21.29,21.42
does,does,21.42,21.610000000000003
not,not,21.61,21.92
logically,logically,21.94,22.53
follow,follow,22.54,22.84
that,that,22.84,23.0
we,we,23.01,23.28
have,have,23.28,23.48
to,to,23.48,23.59
eat,eat,23.59,23.78
here,here,23.78,24.0
What’s,what's,24.11,24.44
the,the,24.45,24.58
point,point,24.58,24.91
of,of,24.92,25.06
even,even,25.06,25.23
having,having,25.23,25.64
a,a,25.66,25.72
weekly,weekly,25.72,26.09
restaurant,restaurant,26.09,26.61
schedule,schedule,26.61,26.97
if,if,26.99,27.14
we’re,we're,27.139999,27.239999
not,not,27.26,27.49
going,going,27.5,27.76
to,to,27.76,27.89
follow,follow,27.889999,28.319999
it,it,28.32,28.57
Leonard,leonard,29.25,29.6
sighed,<unk>,29.639999,30.169999
and,and,30.2,30.38
picked,picked,30.380000000000003,30.67
up,up,30.67,30.85
one,one,30.87,31.03
of,of,31.03,31.14
the,the,31.139999,31.199999
menus,menus,31.2,31.58
on,on,31.58,31.69
the,the,31.69,31.79
table,table,31.79,32.25
You’ll,you'll,32.95,33.27
live,live,33.27,33.849999999999994
Trust,trust,33.92,34.410000000000004
me,me,34.41,34.58
everything’s,everything's,34.59,35.290000000000006
good,good,35.289999,35.529999000000004
here,here,35.529999000000004,35.849999000000004
Statistically,statistically,36.41,37.35
unlikely,unlikely,37.41,38.24
said,said,38.55,38.63999999999999
Sheldon,sheldon,38.81,39.25
Penny,penny,40.16,40.49
their,their,40.49,40.64
neighbor,neighbor,40.64,41.01
came,came,41.01,41.23
over,over,41.23,41.400000000000006
to,to,41.4,41.49
the,the,41.49,41.59
table,table,41.59,41.93000000000001
to,to,41.93,42.02
take,take,42.06,42.31
their,their,42.31,42.48
order,order,42.48,42.86000000000001
Hi,hi,43.4,43.56
guys,guys,43.56,43.95
You,you,44.29,44.46
ready,ready,44.46,44.77
Sheldon,sheldon,45.71,46.11
gestured,<unk>,46.12,46.59
at,at,46.59,46.650000000000006
the,the,46.65,46.75
menu,menu,46.75,47.09
flustered,flustered,47.099999,47.769999
We,we,48.15,48.35
don’t,don't,48.349999,48.649999
eat,eat,48.67,48.81
here,here,48.86,49.05
I,i,49.049999,49.189999
don’t,don't,49.219999,49.469999
know,know,49.49,49.72
what’s,what's,49.719999,50.099999
good,good,50.099999,50.549999
Just,just,51.38,51.7
get,get,51.71,52.0
a,a,52.029999,52.139999
hamburger,hamburger,52.139999,52.779999
you,you,52.789999,53.039999
like,like,53.039999,53.479999
hamburgers,hamburgers,53.48,54.34
said,said,54.559999000000005,54.859999
Leonard,leonard,54.869999,55.229999
I,i,55.69,55.87
like,like,55.88,56.150000000000006
the,the,56.15,56.26
hamburgers,hamburgers,56.26,56.8
where,where,56.8,56.98
we,we,56.98,57.11
usually,usually,57.11,57.73
have,have,57.74,57.95
hamburgers,hamburgers,57.95,58.38
you,you,58.38,58.49
can’t,can't,58.49,58.760000000000005
make,make,58.76,59.01
the,the,59.02,59.16
assumption,assumption,59.16,59.62
that,that,59.62,59.75
I’ll,i'll,59.75,59.85
like,like,59.86,60.14
the,the,60.14,60.24
hamburgers,hamburgers,60.24,60.77
here,here,60.77,61.2
Leonard,leonard,61.92,62.28
rolled,rolled,62.28,62.58
his,his,62.58,62.76
eyes,eyes,62.76,62.98
and,and,62.98,63.11000000000001
looked,looked,63.11,63.32
at,at,63.32,63.42
Penny,penny,63.42,63.78
I'm,i'm,64.74,64.97
sorry,sorry,64.969999,65.439999
Give,give,65.78999999999999,66.16999999999999
him,him,66.17,66.43
a,a,66.46000000000001,66.56
hamburger,hamburger,66.559999,67.229999
Uh,uh,68.049999,68.309999
which,which,68.309999,68.499999
one,one,68.5,68.77
the,the,68.77,68.92999999999999
Classic,classic,68.94,69.38
Burger,burger,69.38,69.71
the,the,69.71000000000001,69.86000000000001
Ranch,ranch,69.87,70.17
House,house,70.17,70.43
Burger,burger,70.43,70.72000000000001
the,the,70.719999,70.799999
Barbecue,barbecue,70.799999,71.219999
Burger,burger,71.219999,71.559999
or,or,71.559999,71.749999
the,the,71.75,71.85
Kobe,kobe,71.85,72.19999999999999
burger,burger,72.19999899999999,72.66999899999999
Can’t,can't,73.6,73.64
we,we,73.64,73.76
just,just,73.77,74.06
go,go,74.07,74.27
to,to,74.27,74.45
Big,big,74.46,74.74
Boy,boy,74.75,75.18
asked,asked,75.24,75.55
Sheldon,sheldon,75.55,75.92
exasperated,exasperated,75.92,76.67
They,they,76.95,77.18
only,only,77.18,77.54
have,have,77.54,77.93
one,one,77.94,78.33
burger,burger,78.33,78.76
The,the,78.88,79.1
Big,big,79.1,79.35
Boy,boy,79.36,79.8
The,the,80.61,80.84
Barbecue,barbecue,80.87,81.31
Burger,burger,81.309999,81.629999
is,is,81.63,81.75999999999999
like,like,81.76,82.0
the,the,82.0,82.09
Big,big,82.09,82.29
Boy,boy,82.28999999999999,82.61999999999999
suggested,suggested,82.67,83.21000000000001
Penny,penny,83.21000000000001,83.53
Excuse,excuse,84.009999,84.63999899999999
me,me,84.67,84.82000000000001
in,in,84.83,84.98
a,a,84.98,85.04
world,world,85.03999999999999,85.30999999999999
that,that,85.309999,85.42999900000001
already,already,85.429999,85.86999899999999
includes,includes,85.889999,86.519999
the,the,86.53,86.63
Big,big,86.63,86.83
Boy,boy,86.83,87.03999999999999
why,why,87.03999999999999,87.35
would,would,87.349999,87.55999899999999
I,i,87.559999,87.75999900000001
settle,settle,87.77,88.14999999999999
for,for,88.16,88.31
something,something,88.309999,88.73999900000001
like,like,88.789999,89.259999
a,a,89.289999,89.409999
Big,big,89.41,89.67
Boy,boy,89.68,90.03
Because,because,90.539999,91.019999
you,you,91.02,91.19
are,are,91.189999,91.389999
not,not,91.389999,91.679999
at,at,91.71,91.99
Big,big,92.02,92.29
Boy,boy,92.29,92.71
said,said,92.99,93.23
Penny,penny,93.23,93.48
with,with,93.48,93.61
a,a,93.61,93.67
grimace,<unk>,93.67,94.16
her,her,94.19,94.35
patience,patience,94.38,94.82
wearing,wearing,94.82,95.13
thin,thin,95.13,95.52
Sheldon,sheldon,96.09,96.5
threw,threw,96.52,96.72
up,up,96.72,96.84
his,his,96.84,96.97
hands,hands,96.97,97.31
in,in,97.31,97.44
defeat,defeat,97.44,97.92
Fine,fine,98.49,99.05
I’ll,i'll,99.13,99.38
have,have,99.4,99.74
the,the,99.75,99.88
Barbecue,barbecue,99.88,100.39
Burger,burger,100.389999,100.809999
Make,make,101.57,101.84
it,it,101.84,101.97
two,two,101.969999,102.299999
said,said,102.62,102.88
Leonard,leonard,102.88,103.17
handing,handing,103.179999,103.509999
her,her,103.509999,103.639999
the,the,103.639999,103.719999
menus,menus,103.719999,104.259999
Penny,penny,104.75,105.02
smiled,smiled,105.02,105.43
at,at,105.429999,105.529999
him,him,105.53,105.75
Thank,thank,106.0,106.28
you,you,106.279999,106.399999
Leonard,leonard,106.4,106.72
By,by,107.129999,107.259999
the,the,107.26,107.37
way,way,107.369999,107.509999
I,i,107.51,107.66
saw,saw,107.699999,107.899999
you,you,107.9,108.05
come,come,108.049999,108.219999
home,home,108.219999,108.389999
with,with,108.389999,108.539999
your,your,108.539999,108.639999
date,date,108.639999,108.899999
last,last,108.9,109.19
night,night,109.189999,109.399999
I’m,i'm,109.4,109.6
so,so,109.61,109.88
happy,happy,109.88,110.3
for,for,110.3,110.45
you,you,110.45,110.69
Leonard,leonard,111.7,112.07
turned,turned,112.07,112.22
to,to,112.22,112.24
Sheldon,sheldon,112.41,112.85
as,as,113.11,113.31
Penny,penny,113.31,113.58
walked,walked,113.59,113.87
away,away,113.87,114.25
What,what,115.19,115.39
did,did,115.39,115.51
she,she,115.51,115.71
mean,mean,115.71,116.05
she’s,she's,116.05,116.47
happy,happy,116.48,116.88
for,for,116.9,117.03
me,me,117.03,117.22
Is,is,117.22,117.34
she,she,117.349999,117.559999
happy,happy,117.559999,118.009999
because,because,118.21,118.64
I’m,i'm,118.639999,118.819999
seeing,seeing,118.83,119.22
someone,someone,119.219999,119.589999
or,or,119.59,119.66
is,is,119.66,119.86
she,she,120.059999,120.289999
happy,happy,120.29,120.61
because,because,120.61,120.97
she,she,120.969999,121.149999
thinks,thinks,121.15,121.51
that,that,121.509999,121.699999
I’m,i'm,121.79,122.11
happy,happy,122.11,122.41
because,because,122.41,122.8
anyone,anyone,123.009999,123.399999
who,who,123.4,123.55
cared,cared,123.549999,123.849999
for,for,123.889999,124.049999
someone,someone,124.049999,124.359999
would,would,124.359999,124.399999
want,want,124.41,124.75
them,them,124.75,124.88
to,to,124.879999,124.949999
be,be,124.949999,125.069999
happy,happy,125.07,125.38
even,even,125.539999,125.799999
if,if,125.799999,125.899999
the,the,125.92,126.02
reason,reason,126.02,126.39
for,for,126.39,126.53
their,their,126.53,126.7
happiness,happiness,126.7,127.11
made,made,127.11,127.44
the,the,127.45,127.58
first,first,127.58,127.91
person,person,127.92,128.26
unhappy,unhappy,128.26,128.61
You,you,128.61,128.72000000000003
know,know,128.72,128.9
because,because,129.15,129.49
the,the,129.49,129.59
second,second,129.59,129.88
person,person,129.88,130.2
though,though,130.21,130.42000000000002
happy,happy,130.43,130.89
is,is,131.12,131.35
now,now,131.35,131.51999999999998
romantically,romantically,131.52,132.05
unavailable,unavailable,132.05,132.61
to,to,132.62,132.8
the,the,132.8,132.9
first,first,132.9,133.19
person,person,133.2,133.61
Sheldon,sheldon,134.75,135.21
sat,sat,135.22,135.5
back,back,135.5,135.78
in,in,135.78,135.87
his,his,135.87,136.04
chair,chair,136.04,136.42999999999998
You’re,you're,137.13,137.41
a,a,137.41,137.48
lucky,lucky,137.48,137.91
man,man,137.91,138.32
Leonard,leonard,138.33,138.74
How,how,139.53,139.8
so,so,139.799999,140.19999900000002
You’re,you're,141.309999,141.649999
talking,talking,141.66,142.1
to,to,142.1,142.23999999999998
one,one,142.24,142.43
of,of,142.43,142.56
