Chandler,chandler,6.46,6.93
and,and,6.93,7.029999999999999
Monica,monica,7.04,7.44
walked,walked,7.45,7.76
into,into,7.76,7.92
the,the,7.92,8.06
airport,airport,8.059999,8.529999
hand,hand,8.54,8.909999999999998
in,in,8.91,9.04
hand,hand,9.04,9.56
pulling,pulling,9.62,9.94
their,their,9.94,10.1
suitcases,suitcases,10.099999,10.759999
behind,behind,10.76,11.18
them,them,11.19,11.42
See,see,12.09,12.47
honey,honey,12.52,12.86
No,no,13.04,13.27
problem,problem,13.27,13.72
getting,getting,13.719999,13.969999
a,a,13.969999,14.019999
cab,cab,14.02,14.5
no,no,14.57,14.81
traffic,traffic,14.849999,15.449999
my,my,15.48,15.73
way,way,15.73,16.150000000000002
totally,totally,16.199999,16.719998999999998
works,works,16.719999,17.289999
smiled,smiled,17.559999,18.009999
Chandler,chandler,18.01,18.49
Monica,monica,18.98,19.34
took,took,19.34,19.51
a,a,19.51,19.56
deep,deep,19.56,19.78
breath,breath,19.79,20.2
I,i,20.46,20.6
know,know,20.6,21.14
I,i,21.14,21.25
know,know,21.29,21.52
we,we,21.52,21.68
have,have,21.68,21.83
plenty,plenty,21.83,22.13
of,of,22.13,22.24
time,time,22.24,22.6
I,i,22.6,22.68
am,am,22.68,22.84
totally,totally,23.15,23.51
relaxed,relaxed,23.51,24.07
totally,totally,24.11,24.52
calm,calm,24.52,25.04
Suddenly,suddenly,25.86,26.23
her,her,26.23,26.38
eyes,eyes,26.380000000000003,26.74
grew,grew,26.76,26.95
wide,wide,26.95,27.33
as,as,27.33,27.42
she,she,27.42,27.6
saw,saw,27.599999,27.839999
the,the,27.84,27.95
line,line,27.95,28.31
for,for,28.309999,28.439999
airport,airport,28.45,28.85
security,security,28.849999,29.339999
winding,winding,29.349999,29.929999
in,in,29.94,30.07
a,a,30.07,30.13
lengthy,lengthy,30.130000000000003,30.660000000000004
tangle,tangle,30.66,31.17
that,that,31.17,31.290000000000003
stretched,stretched,31.299999,31.739999
all,all,31.75,32.05
the,the,32.049999,32.199999
way,way,32.21,32.46
around,around,32.46,32.78
the,the,32.78,32.88
corner,corner,32.88,33.24
Monica,monica,33.809999,34.189999
scurried,scurried,34.199999,34.629999
toward,toward,34.629999,34.849999
the,the,34.85,34.940000000000005
end,end,34.940000999999995,35.080001
of,of,35.08,35.18
the,the,35.18,35.26
line,line,35.260000000000005,35.60000000000001
with,with,35.6,35.78
Chandler,chandler,35.779999000000004,36.279999
following,following,36.28,36.79
behind,behind,36.79,37.35
We’ll,we'll,38.15,38.43
be,be,38.43,38.66
fine,fine,38.66,39.38999999999999
he,he,39.4,39.6
said,said,39.61,39.86
as,as,39.86,39.96
he,he,39.96,40.08
caught,caught,40.08,40.31
up,up,40.31,40.440000000000005
to,to,40.44,40.55
her,her,40.55,40.79
We’ve,we've,41.26,41.54
still,still,41.54,41.79
got,got,41.79,41.99
time,time,41.99,42.24
to,to,42.24,42.31
make,make,42.31,42.52
our,our,42.52,42.69
flight,flight,42.69,43.08
Just,just,43.09,43.3
think,think,43.3,43.53
about,about,43.53,43.73
how,how,43.73,43.91
relaxing,relaxing,43.91,44.59
it’s,it's,44.59,44.71
going,going,44.71,44.9
to,to,44.9,44.95
be,be,44.95,45.1
once,once,45.099999,45.399999
we’re,we're,45.4,45.57
on,on,45.57,45.78
the,the,45.78,45.89
way,way,45.9,46.11
to,to,46.11,46.26
our,our,46.26,46.46
honeymoon,honeymoon,46.46,46.99
Hammocks,<unk>,47.29,47.97
piña,<unk>,48.07,49.15
coladas,,,
He,he,49.61,49.74
started,started,49.74,50.04
