Denny's,denny's,6.26,7.12
It's,it's,7.18,7.479999999999999
always,always,7.49,8.18
open,open,8.21,8.72
proclaimed,proclaimed,9.01,9.52
Scott,scott,9.53,9.93
as,as,9.929999,10.069999
he,he,10.07,10.2
opened,opened,10.2,10.59
the,the,10.599999,10.699999
door,door,10.7,10.95
to,to,10.95,11.05
the,the,11.05,11.14
restaurant,restaurant,11.139999,11.639999
His,his,12.05,12.260000000000002
son,son,12.259999,12.589999
Charlie,charlie,12.59,13.03
grimly,<unk>,13.04,13.54
shuffled,shuffled,13.549999,13.919999
through,through,13.94,14.09
the,the,14.09,14.2
door,door,14.2,14.52
kicking,kicking,14.52,14.92
snow,snow,14.92,15.27
onto,onto,15.27,15.52
the,the,15.52,15.69
entryway,<unk>,15.69,16.07
carpet,carpet,16.1,16.5
I,i,17.01,17.1
don't,don't,17.1,17.360000000000003
want,want,17.369999,17.649999
to,to,17.65,17.759999999999998
eat,eat,17.76,18.040000000000003
here,here,18.039999,18.529999
he,he,18.57,18.77
mumbled,mumbled,18.779999,19.209999
as,as,19.209999,19.289999
Scott,scott,19.299999,19.639999
entered,entered,19.669999,19.969999
behind,behind,19.969999,20.319999
him,him,20.319999,20.499999
This,this,20.879999,21.069999
wasn't,wasn't,21.079999,21.379999
how,how,21.379999,21.579999
he,he,21.579999,21.689999
had,had,21.689999,21.779999
pictured,pictured,21.839999,22.259999
spending,spending,22.259999,22.619999
his,his,22.79,22.96
Christmas,christmas,22.96,23.43
Eve,eve,23.43,23.47
What,what,24.29,24.51
are,are,24.51,24.57
you,you,24.57,24.69
talking,talking,24.69,25.06
about,about,25.06,25.26
Everybody,everybody,25.27,25.93
likes,likes,25.93,26.28
Denny's,denny's,26.28,26.6
It's,it's,26.61,26.87
an,an,26.9,27.07
American,american,27.07,27.78
institution,institution,27.87,28.97
As,as,29.84,30.02
they,they,30.02,30.15
approached,approached,30.15,30.61
the,the,30.62,30.74
hostess,hostess,30.74,31.17
stand,stand,31.17,31.590000000000003
they,they,31.599999,31.779999
heard,heard,31.78,32.07
a,a,32.08,32.18
loud,loud,32.179999,32.579999
commotion,commotion,32.58,33.14
from,from,33.139999,33.289999
inside,inside,33.29,33.69
the,the,33.69,33.78
restaurant,restaurant,33.78,34.28
A,a,34.799999,34.909999
huge,huge,34.91,35.31999999999999
table,table,35.32,35.77
of,of,35.77,35.9
Japanese,japanese,35.9,36.47
businessmen,businessmen,36.47,37.19
were,were,37.19,37.33
excitedly,<unk>,37.33,37.89
gesturing,<unk>,38.38,38.440000000000005
to,to,38.45,38.540000000000006
one,one,38.54,38.67
another,another,38.67,38.99
and,and,38.99,39.13
erupting,erupting,39.14,39.68
