Brandon,brandon,6.12,6.71
spotted,spotted,6.71,7.13
Marianne,marianne,7.13,7.67
at,at,7.67,7.78
a,a,7.78,7.84
table,table,7.84,8.28
as,as,8.28,8.379999999999999
soon,soon,8.38,8.58
as,as,8.58,8.69
he,he,8.69,8.809999999999999
entered,entered,8.809999,9.089999
the,the,9.09,9.17
restaurant,restaurant,9.17,9.8
Though,though,10.21,10.38
he,he,10.38,10.48
was,was,10.48,10.66
already,already,10.67,11.14
running,running,11.139999,11.429999
late,late,11.429999,11.689999
he,he,11.7,11.84
stood,stood,11.84,12.14
and,and,12.139999,12.289999
watched,watched,12.29,12.659999999999998
her,her,12.66,12.76
for,for,12.759999,12.899999
a,a,12.9,12.94
moment,moment,12.94,13.28
until,until,13.28,13.53
he,he,13.53,13.61
was,was,13.61,13.76
interrupted,interrupted,13.77,14.39
by,by,14.389999,14.489999
the,the,14.49,14.62
host,host,14.62,15.12
Are,are,15.639999,15.799999
you,you,15.799999,15.929999
waiting,waiting,15.929999,16.319999
for,for,16.32,16.46
someone,someone,16.459999,16.869999
sir,sir,16.869999,17.209999
Oh,oh,17.969999,18.089999
no,no,18.09,18.2
my,my,18.199999,18.309999
date's,date's,18.309999,18.589999
here,here,18.59,18.87
thank,thank,18.869999,19.129999
you,you,19.129999,19.329999
said,said,19.72,19.95
Brandon,brandon,19.95,20.34
and,and,20.35,20.53
walked,walked,20.53,20.86
quickly,quickly,20.87,21.26
over,over,21.26,21.55
to,to,21.55,21.67
Marianne's,,,
table,table,22.21,22.58
They,they,23.15,23.29
greeted,greeted,23.29,23.57
each,each,23.57,23.74
other,other,23.74,23.930000000000003
with,with,23.93,24.14
awkward,awkward,24.16,24.62
hellos,<unk>,24.62,25.06
as,as,25.06,25.2
Brandon,brandon,25.2,25.59
took,took,25.59,25.8
his,his,25.8,25.92
seat,seat,25.93,26.28
Did,did,27.09,27.25
you,you,27.25,27.32
find,find,27.32,27.6
it,it,27.599999,27.689999
ok,ok,27.69,28.14
he,he,28.309999,28.489999
asked,asked,28.49,28.950000000000003
Yes,yes,29.45,29.93
replied,replied,29.95,30.37
Marianne,marianne,30.37,30.78
with,with,30.78,30.9
a,a,30.9,30.95
smile,smile,30.95,31.35
You,you,31.92,32.1
look,look,32.099999,32.289998999999995
