Vinny,vinny,6.21,6.65
and,and,6.65,6.83
Mona,mona,6.83,7.24
stumbled,stumbled,7.25,7.91
bleary,bleary,7.95,8.42
eyed,eyed,8.42,8.62
into,into,8.62,8.85
a,a,8.849999,8.919999
dingy,dingy,8.92,9.35
looking,looking,9.349999,9.689999
diner,diner,9.69,10.09
The,the,10.57,10.71
place,place,10.71,11.06
was,was,11.059999,11.209999
deserted,deserted,11.219999,11.749999
save,save,11.759999,12.089999
for,for,12.099999,12.259999
a,a,12.259999,12.329999
few,few,12.33,12.55
flies,flies,12.55,13.15
lazily,lazily,13.19,13.74
circling,circling,13.74,14.25
around,around,14.25,14.54
the,the,14.54,14.64
lamps,lamps,14.639999,15.169999
The,the,15.53,15.65
hostess,hostess,15.65,16.14
who,who,16.139999,16.259999
was,was,16.26,16.42
loudly,loudly,16.43,16.88
chewing,chewing,16.889999,17.229999
a,a,17.23,17.28
wad,,,
of,of,17.559999,17.679999000000002
gum,gum,17.690001,18.090001
pointed,pointed,18.440001,18.800001
toward,toward,18.799999,19.059999
the,the,19.07,19.14
counter,counter,19.14,19.61
There's,there's,20.79,21.04
seats,seats,21.05,21.37
at,at,21.37,21.44
the,the,21.45,21.57
counter,counter,21.57,22.01
if,if,22.01,22.13
you,you,22.13,22.26
want,want,22.26,22.55
breakfast,breakfast,22.56,23.49
Thanks,thanks,24.26,24.79
said,said,24.8,25.13
Vinny,vinny,25.16,25.44
and,and,25.44,25.58
they,they,25.58,25.67
took,took,25.67,25.89
their,their,25.89,26.04
seats,seats,26.04,26.37
with,with,26.37,26.52
a,a,26.52,26.58
yawn,yawn,26.58,26.99
A,a,27.389999,27.509999
cook,cook,27.51,27.78
wearing,wearing,27.79,28.15
a,a,28.15,28.21
white,white,28.21,28.47
apron,apron,28.51,28.93
emerged,emerged,28.95,29.44
from,from,29.44,29.57
the,the,29.57,29.66
back,back,29.66,29.96
room,room,29.96,30.15
and,and,30.15,30.29
slapped,slapped,30.29,30.71
a,a,30.71,30.79
single,single,30.79,31.23
menu,menu,31.23,31.61
down,down,31.61,31.84
in,in,31.84,31.96
front,front,31.96,32.12
of,of,32.12,32.23
them,them,32.230000000000004,32.39
before,before,32.389999,32.689999
silently,silently,32.69,33.21
returning,returning,33.21,33.72
through,through,33.719999,33.869999
the,the,33.87,33.989999999999995
swinging,swinging,33.99,34.39
doors,doors,34.389999,34.869999
Mona,mona,35.289999,35.679999
picked,picked,35.68,35.96
it,it,35.959999,36.049999
up,up,36.049999,36.249999
and,and,36.25,36.4
Vinny,vinny,36.44,36.74
looked,looked,36.74,36.97
over,over,36.97,37.15
her,her,37.15,37.25
shoulder,shoulder,37.25,37.75
On,on,38.21,38.38
the,the,38.38,38.470000000000006
menu,menu,38.47,38.77
were,were,38.77,38.970000000000006
exactly,exactly,38.97,39.61
three,three,39.62,39.9
choices,choices,39.9,40.6
BREAKFAST,breakfast,40.93,41.69
for,for,41.7,41.89
one,one,41.89,42.12
ninety,ninety,42.12,42.4
nine,nine,42.4,42.82
LUNCH,lunch,43.15,43.87
for,for,43.89,44.1
two,two,44.099999,44.329999
forty,forty,44.33,44.63
nine,nine,44.63,44.92
or,or,44.94,45.29
DINNER,dinner,45.3,45.79
for,for,46.12,46.32
three,three,46.32,46.61
forty,forty,46.61,46.91
nine,nine,46.91,47.29
Mona,mona,47.74,48.09
tilted,tilted,48.09,48.45
her,her,48.45,48.56
head,head,48.559999,48.779999
back,back,48.79,49.04
and,and,49.04,49.2
forth,forth,49.2,49.48
in,in,49.48,49.63
sarcastic,sarcastic,49.63,50.31
ambivalence,<unk>,50.309999,50.979999
So,so,51.36,51.89
breakfast,breakfast,51.91,52.69
You,you,53.119999,53.349999
think,think,53.35,53.84
replied,replied,53.91,54.42
Vinny,vinny,54.42,54.73
stroking,stroking,54.75,55.16
his,his,55.16,55.31
chin,chin,55.32,55.65
The,the,56.54,56.71
cook,cook,56.71,57.01
circled,circled,57.01,57.33
back,back,57.34,57.57
to,to,57.57,57.68
the,the,57.68,57.77
counter,counter,57.77,58.190000000000005
You,you,58.4,58.72
two,two,58.72,58.97
want,want,58.97,59.31
something,something,59.31,59.66
to,to,59.66,59.78
eat,eat,59.78,60.15
Two,two,61.33,61.54
breakfasts,breakfasts,61.54,62.24
please,please,62.24,62.870000000000005
He,he,63.0,63.16
rubbed,rubbed,63.16,63.4
his,his,63.4,63.58
eyes,eyes,63.58,63.82
as,as,63.82,63.91
he,he,63.91,64.02
passed,passed,64.05,64.35
the,the,64.349999,64.439999
menu,menu,64.44,64.69
to,to,64.69,64.77
the,the,64.77,64.89
cook,cook,64.889999,65.229999
Can,can,65.73,65.91000000000001
I,i,65.91,66.02
